code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E06000001,Hartlepool,-1.2555,54.6688,8615,530661,92334,40930,985.5,7.581100141,6.160392193,3.431763767,1.943957968,0.991579444,0.437044745,0.255210549
E06000002,Middlesbrough,-1.2228,54.5426,15460,516653,143922,60262,2671.2,7.862328234,5.948553055,3.753219674,2.164750958,1.21648754,0.623323339,0.224358974
E06000003,Redcar and Cleveland,-1.0215,54.5535,11600,518023,136536,61636,557.1,6.443976854,5.73719926,3.450465707,1.821065617,1.19110085,0.657812304,0.244480098
E06000004,Stockton-on-Tees,-1.329,54.5625,110,518785,196594,83757,959.3,6.3720762,5.964837958,3.118754164,1.844648514,1.078241637,0.570700637,0.143364282
E06000005,Darlington,-1.5527,54.5488,485,517147,107807,48918,545.9,7.063356164,6.552459146,3.910393414,1.994586123,1.355667542,0.527916965,0.349803236
E06000006,Halton,-2.72,53.3438,14705,383230,128475,55951,1624.3,6.807060468,5.581871719,3.222334768,1.912666907,1.13774641,0.458478148,0.158676187
E06000007,Warrington,-2.5628,53.3985,80,389223,210969,90538,1168,6.793493555,5.658865021,2.831150202,1.802329589,1.165817355,0.514494905,0.215492137
E06000008,Blackburn with Darwen,-2.4671,53.6922,585,421850,154735,58767,1129.4,3.929357125,3.789473684,2.435047859,1.80526625,1.387942252,0.844951415,0.36312522
E06000009,Blackpool,-3.0355,53.8175,14255,436188,141033,64789,4041.1,8.053745928,7.21038107,6.313738227,5.739980016,4.995046666,2.609480186,1.107131228
E06000010,Kingston upon Hull,-0.3364,53.7601,40,430588,267010,115472,3730.1,9.469524775,6.970670428,3.767909198,2.481919266,1.586239208,0.79101334,0.288243772
E06000011,East Riding of Yorkshire,-0.4822,53.868,560,442365,342217,152066,142.4,6.21767748,4.580383615,2.695354752,1.877293475,1.164643864,0.556235399,0.260339784
E06000012,North East Lincolnshire,-0.1339,53.544,17175,406881,156966,69826,815,7.462352766,5.033647376,3.30475909,2.055429631,1.200677802,0.580755594,0.211370262
E06000013,North Lincolnshire,-0.5921,53.5943,50,411782,169674,73173,200.4,6.599640934,5.103433792,3.324989116,1.743191381,1.004893394,0.527774816,0.197680548
E06000014,York,-1.0606,53.9586,735,451799,202821,85459,745.8,16.43110747,8.967627238,4.966042307,2.730132103,1.966837185,1.355788582,0.418841811
E06000015,Derby,-1.4683,52.9128,19225,335169,261354,105652,3349.5,8.199038733,5.830247371,3.610660342,2.073283711,1.450974645,0.89455932,0.353773585
E06000016,Leicester,-1.1276,52.6383,45,304861,368569,127387,5027.2,7.25387608,5.036274845,3.464183503,2.688771591,1.839807287,1.293550277,0.753656511
E06000017,Rutland,-0.6541,52.6607,950,307844,41050,16694,107.5,5.233342325,4.87984306,2.55113767,2.182309772,1.603773585,0.659340659,0.195865071
E06000018,Nottingham,-1.1759,52.9612,16145,340739,323627,124745,4337.6,9.211734571,7.560745988,4.603552563,3.386624359,2.456287887,1.311527638,0.651942523
E06000019,Herefordshire,-2.7457,52.1038,40,245285,187039,82827,85.8,6.642251903,4.780237408,2.913815227,2.026705847,1.324706153,0.780350518,0.319708819
E06000020,Telford and Wrekin,-2.4885,52.7302,990,314837,185523,76510,639.1,6.648308419,5.7004245,3.238773925,2.033940604,1.218890485,0.697028767,0.233317779
